196608	3	1	1	15	17	25	0	0	0	0	17	25	1283
327680	5	1	1	3	5	5	0	0	0	0	5	5	172
281474977103872	6	1	1	0	0	0	0	0	0	0	0	0	0
458752	7	1	1	3	5	12	0	0	0	0	5	12	202
562949953880064	7	2	1	1	2	2	0	0	0	0	2	2	202
524288	8	0	1	1	2	2	0	0	0	0	2	2	2
281474977300480	9	1	1	0	0	0	0	0	0	0	0	0	0
281474977824768	17	1	1	0	0	0	0	0	0	0	0	0	0
562949954535424	17	2	1	0	0	0	0	0	0	0	0	0	0
844424931246080	17	3	1	0	0	0	0	0	0	0	0	0	0
281474977890304	18	1	1	0	0	0	0	0	0	0	0	0	0
562949954600960	18	2	1	0	0	0	0	0	0	0	0	0	0
281474977955840	19	1	1	0	0	0	0	0	0	0	0	0	0
281474978021376	20	1	1	1	2	2	0	0	0	0	2	2	2
281474978086912	21	1	1	0	0	0	0	0	0	0	0	0	0
281474978152448	22	1	1	0	0	0	0	0	0	0	0	0	0
281474978217984	23	1	1	1	2	2	0	0	0	0	2	2	1
281474978283520	24	1	1	1	2	2	0	0	0	0	2	2	2
281474978349056	25	1	1	0	0	0	0	0	0	0	0	0	0
281474978480128	27	1	1	1	2	2	0	0	0	0	2	2	14
562949955190784	27	2	1	1	2	2	0	0	0	0	2	2	14
844424931901440	27	3	1	1	2	2	0	0	0	0	2	2	14
281474978545664	28	1	1	0	0	0	0	0	0	0	0	0	0
562949955256320	28	2	1	0	0	0	0	0	0	0	0	0	0
844424931966976	28	3	1	0	0	0	0	0	0	0	0	0	0
281474978611200	29	1	1	1	2	2	0	0	0	0	2	2	177
281474978938880	34	1	1	35	37	41	0	0	0	0	37	41	2489
562949955649536	34	2	1	28	30	33	0	0	0	0	30	33	2489
844424932360192	34	3	1	26	28	33	0	0	0	0	28	33	2489
1125899909070848	34	4	1	5	7	7	0	0	0	0	7	7	2489
281474979004416	35	1	1	0	0	0	0	0	0	0	0	0	0
281474979069952	36	1	1	0	0	0	0	0	0	0	0	0	0
562949955780608	36	2	1	0	0	0	0	0	0	0	0	0	0
281474979135488	37	1	1	0	0	0	0	0	0	0	0	0	0
281474979201024	38	1	1	0	0	0	0	0	0	0	0	0	0
562949955911680	38	2	1	0	0	0	0	0	0	0	0	0	0
281474979332096	40	1	1	0	0	0	0	0	0	0	0	0	0
562949956042752	40	2	1	0	0	0	0	0	0	0	0	0	0
281474979397632	41	1	1	19	21	25	0	0	0	0	21	25	1056
