4145,EPSG,4145,"GEOGCS[""Kalianpur 1962"", DATUM[""Kalianpur 1962"", ELLIPSOID[""Everest 1830 (1962 Definition)"", 6377301.243, 300.8017255]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4146,EPSG,4146,"GEOGCS[""Kalianpur 1975"", DATUM[""Kalianpur 1975"", ELLIPSOID[""Everest 1830 (1975 Definition)"", 6377299.151, 300.8017255]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4147,EPSG,4147,"GEOGCS[""Hanoi 1972"", DATUM[""Hanoi 1972"", ELLIPSOID[""Krassowsky 1940"", 6378245, 298.3]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4148,EPSG,4148,"GEOGCS[""Hartebeesthoek94"", DATUM[""Hartebeesthoek94"", ELLIPSOID[""WGS 84"", 6378137, 298.257223563]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4149,EPSG,4149,"GEOGCS[""CH1903"", DATUM[""CH1903"", ELLIPSOID[""Bessel 1841"", 6377397.155, 299.1528128]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4150,EPSG,4150,"GEOGCS[""CH1903+"", DATUM[""CH1903+"", ELLIPSOID[""Bessel 1841"", 6377397.155, 299.1528128]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4151,EPSG,4151,"GEOGCS[""CHTRF95"", DATUM[""Swiss Terrestrial Reference Frame 1995"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4152,EPSG,4152,"GEOGCS[""NAD83(HARN)"", DATUM[""NAD83 (High Accuracy Regional Network)"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4153,EPSG,4153,"GEOGCS[""Rassadiran"", DATUM[""Rassadiran"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4154,EPSG,4154,"GEOGCS[""ED50(ED77)"", DATUM[""European Datum 1950(1977)"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4155,EPSG,4155,"GEOGCS[""Dabola 1981"", DATUM[""Dabola 1981"", ELLIPSOID[""Clarke 1880 (IGN)"", 6378249.2, 293.466021293627]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4156,EPSG,4156,"GEOGCS[""S-JTSK"", DATUM[""Jednotne Trigonometricke Site Katastralni"", ELLIPSOID[""Bessel 1841"", 6377397.155, 299.1528128]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4157,EPSG,4157,"GEOGCS[""Mount Dillon"", DATUM[""Mount Dillon"", ELLIPSOID[""Clarke 1858"", 6378293.64520876, 294.260676369261]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",Clarke's foot,0.304797265
4158,EPSG,4158,"GEOGCS[""Naparima 1955"", DATUM[""Naparima 1955"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
