196608,3,1,1,1283,0,0,2,1,0,0,0,13,78,54,19,19,0,1,1,1,0,,1,0
327680,5,1,1,172,0,0,0,1,0,0,0,18,92,57,15,15,0,1,1,1,0,,1,0
458752,7,1,1,202,0,0,0,1,0,0,0,11,73,69,15,0,0,1,1,1,0,,1,0
524288,8,0,1,2,0,0,0,0,0,0,0,4,803,786,0,0,0,1,1,1,0,,1,0
281474977103872,6,1,1,0,0,0,2,1,0,0,0,9,48,44,31,31,0,1,1,1,0,,1,0
281474977300480,9,1,1,0,0,0,2,1,0,0,0,6,16050,25,28,28,0,1,1,1,0,,1,0
281474977824768,17,1,1,0,0,0,2,1,0,0,0,6,794,17,15,11,0,1,1,1,0,,1,0
281474977890304,18,1,1,0,0,0,2,1,0,0,0,6,287,24,15,15,0,1,1,1,0,,1,0
281474977955840,19,1,1,0,0,0,2,1,0,0,0,5,27,24,23,23,0,1,1,1,0,,1,0
281474978021376,20,1,1,2,0,0,2,1,0,0,0,4,555,28,15,15,0,1,1,1,0,,1,0
281474978086912,21,1,1,0,0,0,2,1,0,0,0,5,27,24,15,15,0,1,1,1,0,,1,0
281474978152448,22,1,1,0,0,0,2,1,0,0,0,33,1045,256,19,19,0,1,1,1,0,,1,0
281474978217984,23,1,1,1,0,0,2,1,0,0,0,8,305,42,15,11,0,1,1,1,0,,1,0
281474978283520,24,1,1,2,0,0,2,1,0,0,0,31,1036,248,15,11,0,1,1,1,0,,1,0
281474978349056,25,1,1,0,0,0,0,1,0,0,0,15,83,79,15,11,0,1,1,1,0,,1,0
281474978480128,27,1,1,14,0,0,0,1,0,0,0,10,1154,29,15,11,0,1,1,1,0,,1,0
281474978545664,28,1,1,0,0,0,2,1,0,0,0,11,408,57,15,11,0,1,1,1,0,,1,0
281474978611200,29,1,1,177,0,0,0,1,0,0,0,7,29,26,28,0,0,1,1,1,0,,1,0
281474978938880,34,1,1,2489,0,0,0,1,0,0,0,12,324,48,15,11,0,1,1,1,0,,1,0
281474979004416,35,1,1,0,0,0,2,1,0,0,0,11,96,8,21,9,1,1,1,1,0,,1,0
