1	internal	2019-11-19 06:22:49.970	2167	13328	63568	0	0	0	0	0	0	3169048	151856	3169048	0	0	100	0	100	100					259		22872064	386				33		8593408	77							0	2167	0	0	8299
2	default	2019-11-19 06:22:49.970	21526	111608	23296	0	111	0	0	0	0	3169048	135568	3169048	0	0	100	0	100	100					370		24141824	163				0		0	0							1	21527	0	0	1985
