sysscalartypes	50	S 	4	0	0	0	0	0	2009-04-13 12:59:10.950	0	0	0	S 	1	1	0	2009-04-13 12:59:10.950	0	0	0	0	0	2	0
systypedsubobjs	51	S 	4	0	0	0	0	0	2009-04-13 12:59:11.343	0	0	0	S 	1	1	0	2009-04-13 12:59:11.343	0	0	0	0	0	2	0
sysidxstats	54	S 	4	0	0	0	0	0	2009-04-13 12:59:11.360	0	0	0	S 	1	1	0	2009-04-13 12:59:11.360	0	0	0	0	0	2	0
sysiscols	55	S 	4	0	0	0	0	0	2009-04-13 12:59:11.360	0	0	0	S 	1	1	0	2009-04-13 12:59:11.360	0	0	0	0	0	2	0
sysendpts	56	S 	4	0	0	0	0	0	2019-09-13 17:53:09.233	0	0	0	S 	1	1	0	2019-09-13 17:53:09.233	0	0	0	0	0	2	0
syswebmethods	57	S 	4	0	0	0	0	0	2019-09-13 17:53:09.257	0	0	0	S 	1	1	0	2019-09-13 17:53:09.257	0	0	0	0	0	2	0
sysbinobjs	58	S 	4	0	0	0	0	0	2009-04-13 12:59:12.467	0	0	0	S 	1	1	0	2009-04-13 12:59:12.467	0	0	0	0	0	2	0
sysaudacts	59	S 	4	0	0	0	0	0	2019-09-13 17:53:09.077	0	0	0	S 	1	1	0	2019-09-13 17:53:09.077	0	0	0	0	0	2	0
sysobjvalues	60	S 	4	0	0	0	0	0	2009-04-13 12:59:11.170	0	0	0	S 	1	1	0	2009-04-13 12:59:11.170	0	0	0	0	0	2	0
syscscolsegments	62	S 	4	0	0	0	0	0	2019-09-13 17:53:09.213	0	0	0	S 	1	1	0	2019-09-13 17:53:09.213	0	0	0	0	0	2	0
syscsdictionaries	63	S 	4	0	0	0	0	0	2019-09-13 17:53:09.220	0	0	0	S 	1	1	0	2019-09-13 17:53:09.220	0	0	0	0	0	2	0
sysclsobjs	64	S 	4	0	0	0	0	0	2009-04-13 12:59:11.200	0	0	0	S 	1	1	0	2009-04-13 12:59:11.200	0	0	0	0	0	2	0
sysrowsetrefs	65	S 	4	0	0	0	0	0	2009-04-13 12:59:11.373	0	0	0	S 	1	1	0	2009-04-13 12:59:11.373	0	0	0	0	0	2	0
sysremsvcbinds	67	S 	4	0	0	0	0	0	2009-04-13 12:59:12.860	0	0	0	S 	1	1	0	2009-04-13 12:59:12.860	0	0	0	0	0	2	0
sysxmitqueue	68	S 	4	0	0	0	0	0	2009-04-13 12:59:12.890	0	0	0	S 	1	1	0	2009-04-13 12:59:12.890	0	0	0	0	0	2	0
sysrts	69	S 	4	0	0	0	0	0	2009-04-13 12:59:12.873	0	0	0	S 	1	1	0	2009-04-13 12:59:12.873	0	0	0	0	0	2	0
