less_than_uint64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than operator between two 64-bit unsigned int values,,,uint64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_equal_uint64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than or Equal operator between two 64-bit unsigned int values,,,uint64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_uint64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than operator between two 64-bit unsigned int values,,,uint64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_equal_uint64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than or Equal operator between two 64-bit unsigned int values,,,uint64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_max_uint64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than the maximum 64-bit unsigned int value previously seen,,,uint64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_min_uint64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than the minimum 64-bit unsigned int value previously seen,,,uint64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
equal_int64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two 64-bit signed int values,,,int64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
not_equal_int64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two 64-bit signed int values,,,int64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_int64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than operator between two 64-bit signed int values,,,int64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_equal_int64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than or Equal operator between two 64-bit signed int values,,,int64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_int64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than operator between two 64-bit signed int values,,,int64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_equal_int64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than or Equal operator between two 64-bit signed int values,,,int64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_max_int64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than the maximum 64-bit signed int value previously seen,,,int64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_min_int64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than the minimum 64-bit signed int value previously seen,,,int64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
equal_float64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two 64-bit double values,,,float64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
not_equal_float64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two 64-bit double values,,,float64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_float64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than operator between two 64-bit double values,,,float64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_equal_float64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than or Equal operator between two 64-bit double values,,,float64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_float64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than operator between two 64-bit double values,,,float64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_equal_float64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than or Equal operator between two 64-bit double values,,,float64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_max_float64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than the maximum 64-bit double value previously seen,,,float64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_min_float64,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than the minimum 64-bit double value previously seen,,,float64,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
equal_i_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
not_equal_i_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
less_than_i_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
less_than_equal_i_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than or Equal operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
greater_than_i_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
greater_than_equal_i_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than or Equal operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
equal_i_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
not_equal_i_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
less_than_i_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
less_than_equal_i_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than or Equal operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
greater_than_i_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
greater_than_equal_i_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than or Equal operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
equal_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
not_equal_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
less_than_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
less_than_equal_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than or Equal operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
greater_than_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
greater_than_equal_ansi_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than or Equal operator between two ANSI string values,,,ansi_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
equal_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
not_equal_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
less_than_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
less_than_equal_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than or Equal operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
greater_than_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
greater_than_equal_unicode_string,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than or Equal operator between two UNICODE string values,,,unicode_string,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
equal_boolean,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two Boolean values,,,boolean,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,1
not_equal_boolean,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two Boolean values,,,boolean,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,1
equal_guid,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two GUID values,,,guid,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
not_equal_guid,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two GUID values,,,guid,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
equal_binary_data,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two Binary values,,,binary_data,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
not_equal_binary_data,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two Binary values,,,binary_data,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,0
equal_ptr,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Equality operator between two Generic pointer values,,,ptr,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
not_equal_ptr,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Inequality operator between two Generic pointer values,,,ptr,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_ptr,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than operator between two Generic pointer values,,,ptr,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
less_than_equal_ptr,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Less than or Equal operator between two Generic pointer values,,,ptr,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_ptr,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than operator between two Generic pointer values,,,ptr,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
greater_than_equal_ptr,pred_compare,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,Greater than or Equal operator between two Generic pointer values,,,ptr,60AA9FBF-673B-4553-B7ED-71DCA7F5E972,8
