1,internal,2019-11-19 06:22:49.970,2171,13320,63568,0,0,0,0,0,0,3169048,151848,3169048,0,0,100,0,100,100,,,,,259,,22872064,386,,,,33,,8593408,77,,,,,,,0,2171,0,0,8313
2,default,2019-11-19 06:22:49.970,21535,111928,23288,0,111,0,0,0,0,3169048,135880,3169048,0,0,100,0,100,100,,,,,370,,24141824,163,,,,0,,0,0,,,,,,,1,21537,0,0,1986
