DATABASE,0
OBJECT,1
TYPE,6
SCHEMA,3
XML SCHEMA COLLECTION,10
ASSEMBLY,5
USER,4
ROLE,4
APPLICATION ROLE,4
MESSAGE TYPE,15
CONTRACT,16
SERVICE,17
REMOTE SERVICE BINDING,18
ROUTE,19
FULLTEXT CATALOG,23
FULLTEXT STOPLIST,29
SEARCH PROPERTY LIST,31
SYMMETRIC KEY,24
CERTIFICATE,25
SERVER,100
ENDPOINT,105
AVAILABILITY GROUP,108
LOGIN,101
ASYMMETRIC KEY,26
DATABASE SCOPED CREDENTIAL,32
SERVER ROLE,101
