201	1	1	1	ENTITIES	T	TYPE	L	LIST_TYPE	R	RESTRICTION	107		0	0	0	0	0	0	0	0
202	1	1	1	NMTOKENS	T	TYPE	L	LIST_TYPE	R	RESTRICTION	108		0	0	0	0	0	0	0	0
263	1	3	1	xmlSpaceEnum	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
300	1	2	1	sqlDbTypeEnum	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
301	1	2	1	sqlCompareOptionsEnum	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
302	1	2	1	sqlCompareOptionsList	T	TYPE	L	LIST_TYPE	N	NONE			0	0	0	0	0	0	0	0
303	1	2	1	char	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
304	1	2	1	nchar	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
305	1	2	1	varchar	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
306	1	2	1	nvarchar	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
307	1	2	1	text	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
308	1	2	1	ntext	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
309	1	2	1	varbinary	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	30		0	0	0	0	0	0	0	0
310	1	2	1	binary	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	30		0	0	0	0	0	0	0	0
311	1	2	1	image	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	30		0	0	0	0	0	0	0	0
312	1	2	1	timestamp	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	30		0	0	0	0	0	0	0	0
313	1	2	1	timestampNumeric	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	112		0	0	0	0	0	0	0	0
314	1	2	1	decimal	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	19		0	0	0	0	0	0	0	0
315	1	2	1	numeric	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	19		0	0	0	0	0	0	0	0
316	1	2	1	bigint	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	112		0	0	0	0	0	0	0	0
317	1	2	1	int	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	113		0	0	0	0	0	0	0	0
318	1	2	1	smallint	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	114		0	0	0	0	0	0	0	0
319	1	2	1	tinyint	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	120		0	0	0	0	0	0	0	0
320	1	2	1	bit	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	16		0	0	0	0	0	0	0	0
321	1	2	1	float	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	18		0	0	0	0	0	0	0	0
322	1	2	1	real	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	17		0	0	0	0	0	0	0	0
324	1	2	1	datetime	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	21		0	0	0	0	0	0	0	0
325	1	2	1	smalldatetime	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	21		0	0	0	0	0	0	0	0
326	1	2	1	money	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	19		0	0	0	0	0	0	0	0
327	1	2	1	smallmoney	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	19		0	0	0	0	0	0	0	0
328	1	2	1	uniqueidentifier	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
329	1	2	1	xml	T	TYPE	K	COMPLEX_TYPE	R	RESTRICTION	6		0	1	0	0	0	0	0	0
330	1	2	1	date	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	23		0	0	0	0	0	0	0	0
331	1	2	1	time	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	22		0	0	0	0	0	0	0	0
332	1	2	1	datetime2	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	21		0	0	0	0	0	0	0	0
333	1	2	1	datetimeoffset	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	21		0	0	0	0	0	0	0	0
334	1	2	1	hierarchyid	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15		0	0	0	0	0	0	0	0
360	1	2	1	dbobject	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	31		0	0	0	0	0	0	0	0
