22,4,0,317827579992,0x0000000BF735C740
38,4,0,317827580008,0x0000000BF735C8A0
46,4,0,317827580000,0x0000000BF735C7F0
54,2,0,154618822672,0x0000000BF735CF80
272,1,0,1069446857192,0x0000000BF735C480
280,1,0,1069446857184,0x0000000BF735C3D0
296,1,0,1069446857168,0x0000000BF735C320
1217,5,0,154618823904,0x0000000BF735CAB0
1265,5,0,154618823888,0x0000000BF735C950
1273,5,0,154618823896,0x0000000BF735CA00
1905,6,0,167503726416,0x0000000BF735CD70
1921,6,0,167503726496,0x0000000BF735CED0
1977,6,0,167503726488,0x0000000BF735CE20
32625,32767,0,180388626596,0x0000000BF735C690
32630,32767,0,180388626595,0x0000000BF735C5E0
32648,32767,0,180388626525,0x0000000BF735C530
