0x0000000BFADD9450	ObjPerm - msdb	USERSTORE_OBJPERM	72		1	0
0x0000000BFACC3520	ObjPerm - SchoolManagement	USERSTORE_OBJPERM	72		0	0
0x0000000BFD54E040	mssqlsystemresource	USERSTORE_DBMETADATA	8816		2484	0
0x0000000BFD54E8D0	ObjPerm - mssqlsystemresource	USERSTORE_OBJPERM	72		0	0
0x0000000BF4FD2C90	model	USERSTORE_DBMETADATA	16		1	0
0x0000000BF4FD3520	ObjPerm - model	USERSTORE_OBJPERM	72		0	0
0x0000000BF2F24E90	QDSStmtStore	USERSTORE_QDSSTMT	16		0	0
0x0000000BF2F25720	SecCtxtACRUserStore-3-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF289E040	ACRUserStore-4-1-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF289F520	tempdb	USERSTORE_DBMETADATA	40		21	0
0x0000000BF21A8040	ObjPerm - tempdb	USERSTORE_OBJPERM	72		0	0
0x0000000BF189B200	QDSStmtStore	USERSTORE_QDSSTMT	16		0	0
0x0000000BF1899200	QDSStmtStore	USERSTORE_QDSSTMT	16		0	0
0x0000000BF1947200	QDSStmtStore	USERSTORE_QDSSTMT	16		0	0
0x0000000BF1945200	ACRUserStore-5-6-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF03BF200	ACRUserStore-7-5-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF19F48D0	ACRUserStore-9-2-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF21A9520	ACRUserStore-6-4-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF28E0C90	SecCtxtACRUserStore-10-256	USERSTORE_TOKENPERM	8		0	0
0x0000000BF28E1520	SecCtxtACRUserStore-13-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF1BD0040	ACRUserStore-16-4-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF1BD08D0	ACRUserStore-17-4-20	USERSTORE_TOKENPERM	8		1	0
0x0000000BFD4E6040	ACRUserStore-19-6-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF1D3AE90	ACRUserStore-20-3-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BEB88AC90	ACRUserStore-21-2-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BEB88B520	ACRUserStore-22-3-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF19F4040	ACRUserStore-23-4-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BF1D3B720	ACRUserStore-24-5-1	USERSTORE_TOKENPERM	8		0	0
0x0000000BFD61F3E0	sxcCacheStore	USERSTORE_SXC	8		0	0
