syscsdictionaries,63,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.220,2019-11-09 14:37:25.390,1,0,0
sysclsobjs,64,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:11.200,2009-04-13 12:59:11.200,1,0,0
sysrowsetrefs,65,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:11.373,2019-09-13 17:53:08.893,1,0,0
sysremsvcbinds,67,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.860,2009-04-13 12:59:12.883,1,0,0
sysxmitqueue,68,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.890,2019-09-13 17:53:09.150,1,0,0
sysrts,69,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.873,2009-04-13 12:59:12.900,1,0,0
sysconvgroup,71,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.873,2009-04-13 12:59:12.883,1,0,0
sysdesend,72,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.903,2009-04-13 12:59:13.003,1,0,0
sysdercv,73,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:13.000,2019-09-13 17:53:09.210,1,0,0
syssingleobjrefs,74,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:10.967,2009-04-13 12:59:10.967,1,0,0
sysmultiobjrefs,75,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:10.983,2009-04-13 12:59:10.983,1,0,0
sysguidrefs,78,,4,0,S ,SYSTEM_TABLE,2009-04-13 12:59:12.577,2009-04-13 12:59:12.600,1,0,0
sysfoqueues,79,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.303,2019-09-13 17:53:09.310,1,0,0
syschildinsts,80,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.227,2019-09-13 17:53:09.233,1,0,0
syscompfragments,82,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.083,2019-09-13 17:53:09.090,1,0,0
sysftsemanticsdb,84,,4,0,S ,SYSTEM_TABLE,2019-09-13 17:53:09.280,2019-09-13 17:53:09.287,1,0,0
