0x0000000BF21A8910,ConversationPriorityCache,CACHESTORE_CONVPRI,0,113,0,0,0,0,0,0,0,0,0
0x0000000BF2933240,ConversationPriorityCache,CACHESTORE_CONVPRI,0,113,0,0,0,0,0,0,0,0,0
0x0000000BF03BD240,ConversationPriorityCache,CACHESTORE_CONVPRI,0,113,0,0,0,0,0,0,0,0,0
0x0000000BF2935240,ConversationPriorityCache,CACHESTORE_CONVPRI,0,113,0,0,0,0,0,0,0,0,0
0x0000000BF19F51A0,Broker dormant rowsets,CACHESTORE_BROKERTBLACS,0,997,2,0,1,1,1,0,2,0,0
0x0000000BF4E44080,Broker dormant rowsets,CACHESTORE_BROKERTBLACS,0,997,2,0,1,1,1,0,2,0,0
0x0000000BF4E44CD0,Broker dormant rowsets,CACHESTORE_BROKERTBLACS,0,997,2,0,1,1,1,0,2,0,0
0x0000000BF28E0080,Broker dormant rowsets,CACHESTORE_BROKERTBLACS,0,997,5,0,1,1,1,0,5,0,0
0x0000000BEB88A080,ClrProcCache,CACHESTORE_CLRPROC,0,1021,0,0,0,0,0,0,0,0,0
0x0000000BFD61E080,SOS_StackFramesStore,CACHESTORE_STACKFRAMES,0,65536,0,0,0,0,0,0,0,0,0
0x0000000BFACC2040,TokenAndPermUserStore,USERSTORE_TOKENPERM,0,256,2,0,3,2,3,0,0,0,0
0x0000000BFACC2040,TokenAndPermUserStore,USERSTORE_TOKENPERM,1,128,2,0,2,1,2,0,0,0,0
