0x0000000C027F3438,0,360,2,,2019-11-19 06:22:50.107,0,0,0x0000000C0D530000,0x0000000C0D330000,65536,,255,0,,,,,,0x0000000000A00240,0x0000000000800248,,0x0000000C02807A10,,0x0000000C027F3438,0
0x0000000C027F3580,0,356,2,,2019-11-19 06:22:49.970,0,0,0x0000000C0CEF0000,0x0000000C0CCF0000,65536,,255,0,,,,,,0x0000000000000294,0x0000000000E0029C,,0x0000000C028137E0,,0x0000000C027F3580,0
0x0000000C027F36C8,0,348,2,,2019-11-19 06:22:49.700,0,0,0x0000000C02AC0000,0x0000000C028C0000,131072,,255,0,,,,,,0x00000000006002A0,0x00000000004002A8,,0x0000000C02816B70,,0x0000000C027F36C8,0
0x0000000C027F3810,0,364,2,,2019-11-19 06:22:50.137,20,20,0x0000000C0D730000,0x0000000C0D530000,131072,,255,0,,,,,,0x00000000002002C0,0x00000000000002C8,,0x0000000C02818EF0,,0x0000000C027F3810,0
0x0000000C027F3AA0,1,376,16,,2019-11-19 06:22:50.577,0,0,0x0000000C0EC80000,0x0000000C0EA70000,2088960,,255,0,,,,,,0x0000000000B00538,0x0000000000500534,0x0000000BFD120040,0x0000000BFD020160,,0x0000000C027F3AA0,0
0x0000000C027F3BE8,1,380,16,,2019-11-19 06:22:50.577,0,0,0x0000000C0EEA0000,0x0000000C0EC90000,2088960,,255,0,,,,,,0x0000000000400544,0x0000000000400530,0x0000000BFD120040,0x0000000BFD022160,,0x0000000C027F3BE8,0
0x0000000C027F3D30,1,384,16,,2019-11-19 06:22:50.577,0,0,0x0000000C0F0C0000,0x0000000C0EEB0000,2088960,,255,0,,,,,,0x0000000000C0054C,0x000000000030052C,0x0000000BFD140040,0x0000000BFD02A160,,0x0000000C027F3D30,0
0x0000000C027F3E78,1,388,20,,2019-11-19 06:22:50.580,0,0,0x0000000C0F2E0000,0x0000000C0F0D0000,2088960,,255,0,,,,,,0x0000000000400558,0x0000000000200528,0x0000000BFD140040,0x0000000BFD200160,,0x0000000C027F3E78,0
0x0000000C027F3FC0,1,392,16,,2019-11-19 06:22:50.580,20,50,0x0000000C0F500000,0x0000000C0F2F0000,2088960,,255,0,,,,,,0x0000000000D00564,0x0000000000100524,0x0000000BFD160040,0x0000000BFD032160,,0x0000000C027F3FC0,0
0x0000000C027F4108,1,396,16,,2019-11-19 06:22:50.580,810,4720,0x0000000C0F720000,0x0000000C0F510000,2088960,,255,0,,,,,,0x000000000060056C,0x0000000000000520,0x0000000BFD160040,0x0000000BFD280160,,0x0000000C027F4108,0
0x0000000C027F4250,1,400,16,,2019-11-19 06:22:50.580,0,0,0x0000000C0F940000,0x0000000C0F730000,2088960,,255,0,,,,,,0x0000000000E0053C,0x0000000000F0051C,0x0000000BFD300040,0x0000000BFD03A160,,0x0000000C027F4250,0
0x0000000C027F4398,1,404,16,,2019-11-19 06:22:50.580,0,0,0x0000000C0FB60000,0x0000000C0F950000,2088960,,255,0,,,,,,0x0000000000700550,0x0000000000E00518,0x0000000BFD300040,0x0000000BFD380160,,0x0000000C027F4398,0
0x0000000C027F44E0,1,408,16,,2019-11-19 06:22:50.580,0,0,0x0000000C0FD80000,0x0000000C0FB70000,2088960,,255,0,,,,,,0x0000000000100568,0x0000000000F0057C,0x0000000BFD320040,0x0000000BFD042160,,0x0000000C027F44E0,0
0x0000000C027F4628,1,412,16,,2019-11-19 06:22:50.580,0,0,0x0000000C0FFA0000,0x0000000C0FD90000,2088960,,255,0,,,,,,0x0000000000A00580,0x0000000000800588,0x0000000BFD320040,0x0000000BFD400160,,0x0000000C027F4628,0
0x0000000C027F4770,1,416,16,,2019-11-19 06:22:50.580,10,30,0x0000000C101C0000,0x0000000C0FFB0000,2088960,,255,0,,,,,,0x000000000030058C,0x0000000000100594,0x0000000BFD340040,0x0000000BFD04A160,,0x0000000C027F4770,0
0x0000000C027F48B8,1,420,16,,2019-11-19 06:22:50.580,0,0,0x0000000C103E0000,0x0000000C101D0000,2088960,,255,0,,,,,,0x0000000000D0059C,0x0000000000A005A4,0x0000000BFD340040,0x0000000BFD480160,,0x0000000C027F48B8,0
0x0000000C027F4A00,1,424,16,,2019-11-19 06:22:50.583,0,0,0x0000000C10600000,0x0000000C103F0000,2088960,,255,0,,,,,,0x00000000007005AC,0x00000000005005B4,0x0000000BFD360040,0x0000000BFD052160,,0x0000000C027F4A00,0
0x0000000C027F4B48,1,428,16,,2019-11-19 06:22:50.583,0,0,0x0000000C10820000,0x0000000C10610000,2088960,,255,0,,,,,,0x0000000000F005B8,0x0000000000D005C0,0x0000000BFD360040,0x0000000BFD500160,,0x0000000C027F4B48,0
0x0000000C027F4C90,1,432,16,,2019-11-19 06:22:50.583,210,390,0x0000000C10A40000,0x0000000C10830000,2088960,,255,0,,,,,,0x0000000000800548,0x0000000000600578,0x0000000BFD580040,0x0000000BFD05A160,,0x0000000C027F4C90,0
0x0000000C027F4DD8,1,436,20,,2019-11-19 06:22:50.583,460,980,0x0000000C10C60000,0x0000000C10A50000,2088960,,255,0,,,,,,0x0000000000300584,0x00000000000005A0,0x0000000BFD580040,0x0000000BFD600160,,0x0000000C027F4DD8,0
0x0000000C027F4F20,1,440,16,,2019-11-19 06:22:50.583,0,0,0x0000000C10E80000,0x0000000C10C70000,2088960,,255,0,,,,,,0x0000000000C005B0,0x0000000000A005CC,0x0000000BFD5A0040,0x0000000BFD68E160,,0x0000000C027F4F20,0
