SQLServer:General Statistics                                                                                                    	Trace Event Notification Queue                                                                                                  	                                                                                                                                	0	65792
SQLServer:General Statistics                                                                                                    	SQL Trace IO Provider Lock Waits                                                                                                	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	Tempdb recovery unit id                                                                                                         	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	Tempdb rowset id                                                                                                                	                                                                                                                                	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Waits/sec                                                                                                                  	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Wait Time (ms)                                                                                                             	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Average Wait Time (ms)                                                                                                          	RowGroup                                                                                                                        	0	1073874176
SQLServer:Locks                                                                                                                 	Average Wait Time Base                                                                                                          	RowGroup                                                                                                                        	0	1073939712
SQLServer:Locks                                                                                                                 	Lock Timeouts (timeout > 0)/sec                                                                                                 	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Lock Waits/sec                                                                                                                  	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Lock Wait Time (ms)                                                                                                             	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Average Wait Time (ms)                                                                                                          	OIB                                                                                                                             	0	1073874176
SQLServer:Locks                                                                                                                 	Average Wait Time Base                                                                                                          	OIB                                                                                                                             	0	1073939712
SQLServer:Locks                                                                                                                 	Lock Timeouts (timeout > 0)/sec                                                                                                 	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	AllocUnit                                                                                                                       	0	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	AllocUnit                                                                                                                       	0	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	AllocUnit                                                                                                                       	0	272696576
SQLServer:Locks                                                                                                                 	Lock Waits/sec                                                                                                                  	AllocUnit                                                                                                                       	0	272696576
SQLServer:Locks                                                                                                                 	Lock Wait Time (ms)                                                                                                             	AllocUnit                                                                                                                       	0	272696576
SQLServer:Locks                                                                                                                 	Average Wait Time (ms)                                                                                                          	AllocUnit                                                                                                                       	0	1073874176
SQLServer:Locks                                                                                                                 	Average Wait Time Base                                                                                                          	AllocUnit                                                                                                                       	0	1073939712
SQLServer:Locks                                                                                                                 	Lock Timeouts (timeout > 0)/sec                                                                                                 	AllocUnit                                                                                                                       	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	HoBT                                                                                                                            	54	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	HoBT                                                                                                                            	0	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	HoBT                                                                                                                            	0	272696576
SQLServer:Locks                                                                                                                 	Lock Waits/sec                                                                                                                  	HoBT                                                                                                                            	0	272696576
SQLServer:Locks                                                                                                                 	Lock Wait Time (ms)                                                                                                             	HoBT                                                                                                                            	0	272696576
SQLServer:Locks                                                                                                                 	Average Wait Time (ms)                                                                                                          	HoBT                                                                                                                            	0	1073874176
SQLServer:Locks                                                                                                                 	Average Wait Time Base                                                                                                          	HoBT                                                                                                                            	0	1073939712
SQLServer:Locks                                                                                                                 	Lock Timeouts (timeout > 0)/sec                                                                                                 	HoBT                                                                                                                            	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	Metadata                                                                                                                        	54542	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	Metadata                                                                                                                        	1	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	Metadata                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Waits/sec                                                                                                                  	Metadata                                                                                                                        	1	272696576
SQLServer:Locks                                                                                                                 	Lock Wait Time (ms)                                                                                                             	Metadata                                                                                                                        	22	272696576
SQLServer:Locks                                                                                                                 	Average Wait Time (ms)                                                                                                          	Metadata                                                                                                                        	22	1073874176
SQLServer:Locks                                                                                                                 	Average Wait Time Base                                                                                                          	Metadata                                                                                                                        	1	1073939712
SQLServer:Locks                                                                                                                 	Lock Timeouts (timeout > 0)/sec                                                                                                 	Metadata                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	Application                                                                                                                     	0	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	Application                                                                                                                     	0	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	Application                                                                                                                     	0	272696576
SQLServer:Locks                                                                                                                 	Lock Waits/sec                                                                                                                  	Application                                                                                                                     	0	272696576
SQLServer:Locks                                                                                                                 	Lock Wait Time (ms)                                                                                                             	Application                                                                                                                     	0	272696576
SQLServer:Locks                                                                                                                 	Average Wait Time (ms)                                                                                                          	Application                                                                                                                     	0	1073874176
SQLServer:Locks                                                                                                                 	Average Wait Time Base                                                                                                          	Application                                                                                                                     	0	1073939712
SQLServer:Locks                                                                                                                 	Lock Timeouts (timeout > 0)/sec                                                                                                 	Application                                                                                                                     	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	RID                                                                                                                             	183	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	RID                                                                                                                             	0	272696576
