309	1	2	1	varbinary	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	30	
310	1	2	1	binary	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	30	
311	1	2	1	image	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	30	
312	1	2	1	timestamp	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	30	
313	1	2	1	timestampNumeric	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	112	
314	1	2	1	decimal	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	19	
315	1	2	1	numeric	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	19	
316	1	2	1	bigint	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	112	
317	1	2	1	int	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	113	
318	1	2	1	smallint	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	114	
319	1	2	1	tinyint	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	120	
320	1	2	1	bit	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	16	
321	1	2	1	float	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	18	
322	1	2	1	real	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	17	
324	1	2	1	datetime	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	21	
325	1	2	1	smalldatetime	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	21	
326	1	2	1	money	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	19	
327	1	2	1	smallmoney	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	19	
328	1	2	1	uniqueidentifier	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15	
329	1	2	1	xml	T	TYPE	K	COMPLEX_TYPE	R	RESTRICTION	6	
330	1	2	1	date	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	23	
331	1	2	1	time	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	22	
332	1	2	1	datetime2	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	21	
333	1	2	1	datetimeoffset	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	21	
334	1	2	1	hierarchyid	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	15	
360	1	2	1	dbobject	T	TYPE	S	SIMPLE_TYPE	R	RESTRICTION	31	
361	1	2	1	sqlDbType	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
362	1	2	1	clrTypeName	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
363	1	2	1	maxLength	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
364	1	2	1	localeId	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
365	1	2	1	sqlCompareOptions	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
366	1	2	1	sqlCollationVersion	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
367	1	2	1	sqlSortId	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
368	1	2	1	scale	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
369	1	2	1	precision	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
370	1	2	1	xmlSchemaCollection	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
371	1	2	1	sqlTypeAlias	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
372	1	2	1	base64Encoded	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
373	1	2	1	supplementaryCharacters	A	ATTRIBUTE	A	ATTRIBUTE	N	NONE		
380	1	2	0		M	MODEL_GROUP	M	MODEL_GROUP	N	NONE		329
381	1	2	0		N	NONE	W	ELEMENT_WILDCARD	N	NONE		380
