auid,7,127,1,127,8,19,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
type,7,48,1,48,1,3,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
ownerid,7,127,1,127,8,19,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
status,7,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fgid,7,52,1,52,2,5,0,5,0,0,0,0,0,0,0,5,,0,0,0,0,52,6,,5,0,0,0,0,,0x0000000000
pgfirst,7,173,3,173,6,0,0,6,0,0,0,0,0,0,0,6,,0,0,0,16,45,3,,6,,0,0,0,,0x0000000000
pgroot,7,173,3,173,6,0,0,7,0,0,0,0,0,0,0,7,,0,0,0,16,45,3,,6,,0,0,0,,0x0000000000
pgfirstiam,7,173,3,173,6,0,0,8,0,0,0,0,0,0,0,8,,0,0,0,16,45,3,,6,,0,0,0,,0x0000000000
pcused,7,127,1,127,8,19,0,9,0,0,0,0,0,0,0,9,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
pcdata,7,127,1,127,8,19,0,10,0,0,0,0,0,0,0,10,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
pcreserved,7,127,1,127,8,19,0,11,0,0,0,0,0,0,0,11,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
status,8,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fileid,8,52,1,52,2,5,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,52,6,,5,0,0,0,0,,0x0000000000
name,8,239,3,239,256,0,0,3,0,0,0,0,0,0,0,3,,0,872468488,0,16,47,0,,128,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
filename,8,239,3,239,520,0,0,4,0,0,0,0,0,0,0,4,,0,872468488,0,16,47,0,,260,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
valclass,9,48,1,48,1,3,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
id,9,127,1,127,8,19,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
subid,9,127,1,127,8,19,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
valnum,9,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
value,9,98,0,98,8016,0,0,5,0,0,0,0,0,0,0,5,,0,0,0,8,39,0,,0,,0,0,1,,0x0000000000
imageval,9,165,2,165,-1,0,0,6,0,0,0,0,0,0,0,6,,0,0,0,24,37,4,,-1,,0,0,1,,0x0000000000
priority_id,17,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
name,17,231,3,256,256,0,0,2,0,0,0,0,0,0,0,2,,0,872468488,0,16,39,18,,128,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
service_contract_id,17,56,0,56,4,10,0,3,0,0,0,0,0,0,0,3,,0,0,0,8,38,7,,10,0,0,0,1,,0x0000000000
local_service_id,17,56,0,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,8,38,7,,10,0,0,0,1,,0x0000000000
remote_service_name,17,231,2,231,512,0,0,5,0,0,0,0,0,0,0,5,,0,872468488,0,24,39,0,,256,,0,0,1,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
priority,17,48,1,48,1,3,0,6,0,0,0,0,0,0,0,6,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
dbid,18,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fragid,18,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
name,18,231,3,256,256,0,0,3,0,0,0,0,0,0,0,3,,0,872468488,0,16,39,18,,128,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
brickid,18,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
pruid,18,56,1,56,4,10,0,5,0,0,0,0,0,0,0,5,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
status,18,56,1,56,4,10,0,6,0,0,0,0,0,0,0,6,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fgid,19,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fgfragid,19,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
dbfragid,19,56,1,56,4,10,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
phfgid,19,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
status,19,56,1,56,4,10,0,5,0,0,0,0,0,0,0,5,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
dbfragid,20,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fileid,20,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fileguid,20,36,1,36,16,0,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,37,0,,0,,0,0,0,,0x0000000000
pname,20,231,2,231,520,0,0,4,0,0,0,0,0,0,0,4,,0,872468488,0,24,39,0,,260,,0,0,1,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
brickid,21,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
dbid,21,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
pruid,21,56,1,56,4,10,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fragid,21,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
status,21,56,1,56,4,10,0,5,0,0,0,0,0,0,0,5,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
brickid,22,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
dbid,22,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
pruid,22,56,1,56,4,10,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fileid,22,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
grpid,22,56,1,56,4,10,0,5,0,0,0,0,0,0,0,5,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
status,22,56,1,56,4,10,0,6,0,0,0,0,0,0,0,6,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
filetype,22,48,1,48,1,3,0,7,0,0,0,0,0,0,0,7,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
filestate,22,48,1,48,1,3,0,8,0,0,0,0,0,0,0,8,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
size,22,56,1,56,4,10,0,9,0,0,0,0,0,0,0,9,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
maxsize,22,56,1,56,4,10,0,10,0,0,0,0,0,0,0,10,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
growth,22,56,1,56,4,10,0,11,0,0,0,0,0,0,0,11,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
lname,22,231,3,256,256,0,0,12,0,0,0,0,0,0,0,12,,0,872468488,0,16,39,18,,128,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
pname,22,231,3,231,520,0,0,13,0,0,0,0,0,0,0,13,,0,872468488,0,16,39,0,,260,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
createlsn,22,173,2,173,10,0,0,14,0,0,0,0,0,0,0,14,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
droplsn,22,173,2,173,10,0,0,15,0,0,0,0,0,0,0,15,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
fileguid,22,36,0,36,16,0,0,16,0,0,0,0,0,0,0,16,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
internalstatus,22,56,1,56,4,10,0,17,0,0,0,0,0,0,0,17,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
readonlylsn,22,173,2,173,10,0,0,18,0,0,0,0,0,0,0,18,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
readwritelsn,22,173,2,173,10,0,0,19,0,0,0,0,0,0,0,19,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
readonlybaselsn,22,173,2,173,10,0,0,20,0,0,0,0,0,0,0,20,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
firstupdatelsn,22,173,2,173,10,0,0,21,0,0,0,0,0,0,0,21,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
lastupdatelsn,22,173,2,173,10,0,0,22,0,0,0,0,0,0,0,22,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
backuplsn,22,173,2,173,10,0,0,23,0,0,0,0,0,0,0,23,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
diffbaselsn,22,173,2,173,10,0,0,24,0,0,0,0,0,0,0,24,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
diffbaseguid,22,36,0,36,16,0,0,25,0,0,0,0,0,0,0,25,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
diffbasetime,22,61,1,61,8,23,3,26,0,0,0,0,0,0,0,26,,0,0,0,0,61,12,,23,3,0,0,0,,0x0000000000
diffbaseseclsn,22,173,2,173,10,0,0,27,0,0,0,0,0,0,0,27,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
redostartlsn,22,173,2,173,10,0,0,28,0,0,0,0,0,0,0,28,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
redotargetlsn,22,173,2,173,10,0,0,29,0,0,0,0,0,0,0,29,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
forkguid,22,36,0,36,16,0,0,30,0,0,0,0,0,0,0,30,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
forklsn,22,173,2,173,10,0,0,31,0,0,0,0,0,0,0,31,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
forkvc,22,127,1,127,8,19,0,32,0,0,0,0,0,0,0,32,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
redostartforkguid,22,36,0,36,16,0,0,33,0,0,0,0,0,0,0,33,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
dbfragid,23,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
phfgid,23,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
fgid,23,56,1,56,4,10,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
type,23,175,3,175,2,0,0,4,0,0,0,0,0,0,0,4,,0,4104,0,16,47,1,,2,,0,0,0,Latin1_General_CI_AS_KS_WS,0x0904100000
