196608	1	IN_ROW_DATA	196608	1	25	17	15
327680	1	IN_ROW_DATA	327680	1	5	5	3
458752	1	IN_ROW_DATA	458752	1	12	5	3
524288	1	IN_ROW_DATA	524288	1	2	2	1
281474977103872	1	IN_ROW_DATA	281474977103872	1	0	0	0
281474977300480	1	IN_ROW_DATA	281474977300480	1	0	0	0
281474977824768	1	IN_ROW_DATA	281474977824768	1	0	0	0
281474977890304	1	IN_ROW_DATA	281474977890304	1	0	0	0
281474977955840	1	IN_ROW_DATA	281474977955840	1	0	0	0
281474978021376	1	IN_ROW_DATA	281474978021376	1	2	2	1
281474978086912	1	IN_ROW_DATA	281474978086912	1	0	0	0
281474978152448	1	IN_ROW_DATA	281474978152448	1	0	0	0
281474978217984	1	IN_ROW_DATA	281474978217984	1	2	2	1
281474978283520	1	IN_ROW_DATA	281474978283520	1	2	2	1
281474978349056	1	IN_ROW_DATA	281474978349056	1	0	0	0
281474978480128	1	IN_ROW_DATA	281474978480128	1	2	2	1
281474978545664	1	IN_ROW_DATA	281474978545664	1	0	0	0
281474978611200	1	IN_ROW_DATA	281474978611200	1	2	2	1
281474978938880	1	IN_ROW_DATA	281474978938880	1	41	37	35
281474979004416	1	IN_ROW_DATA	281474979004416	1	0	0	0
281474979069952	1	IN_ROW_DATA	281474979069952	1	0	0	0
281474979135488	1	IN_ROW_DATA	281474979135488	1	0	0	0
281474979201024	1	IN_ROW_DATA	281474979201024	1	0	0	0
281474979332096	1	IN_ROW_DATA	281474979332096	1	0	0	0
281474979397632	1	IN_ROW_DATA	281474979397632	1	25	21	19
281474979463168	1	IN_ROW_DATA	281474979463168	1	0	0	0
281474979528704	1	IN_ROW_DATA	281474979528704	1	0	0	0
281474979594240	1	IN_ROW_DATA	281474979594240	1	2	2	1
281474979659776	1	IN_ROW_DATA	281474979659776	1	0	0	0
281474979790848	1	IN_ROW_DATA	281474979790848	1	0	0	0
281474979856384	1	IN_ROW_DATA	281474979856384	1	0	0	0
281474979921920	1	IN_ROW_DATA	281474979921920	1	0	0	0
281474979987456	1	IN_ROW_DATA	281474979987456	1	2	2	1
281474980052992	1	IN_ROW_DATA	281474980052992	1	0	0	0
281474980249600	1	IN_ROW_DATA	281474980249600	1	14	8	6
281474980315136	1	IN_ROW_DATA	281474980315136	1	4	4	2
