32767	1	2879	0	71776119065149440	TEXT_MIX_PAGE	1	40	0	0	94		0	0x000000000000015A
6	1	209	0	562949955649536	INDEX_PAGE	81	2422	0	0	3340		0	0x000000000000015A
32767	1	1473	0	71776119065149440	TEXT_MIX_PAGE	1	40	0	0	68		0	0x000000000001215A
4	1	586	0	844424932360192	INDEX_PAGE	82	3504	0	0	509		0	0x000000000001215A
32767	1	1381	0	281474980642816	DATA_PAGE	1	6128	0	0	92		0	0x000000000000015A
32767	1	742	0	281474980642816	DATA_PAGE	8	4078	0	0	127		0	0x000000002121215A
32767	1	3114	0	71776119065149440	TEXT_MIX_PAGE	2	2962	0	0	59		0	0x000000000000015A
3	1	131	0	327680	IAM_PAGE	2	6	0	0	497		0	0x000000000000015A
32767	1	2793	0	281474980642816	DATA_PAGE	2	5844	0	0	104		0	0x000000000000015A
2	1	60	0	281474979397632	DATA_PAGE	1	8001	0	0	2869		0	0x000000000000015A
32767	1	3096	0	281474980642816	DATA_PAGE	1	6364	0	0	59		0	0x000000000000015A
32767	1	950	0	844424932360192	INDEX_PAGE	54	3930	0	0	44		0	0x000000000000015A
1	1	94	0	562949957025792	INDEX_PAGE	230	3036	1	0	480		0	0x000000000000015A
32767	1	860	0	281474979397632	DATA_PAGE	55	2903	0	0	67		0	0x000000000000015A
32767	1	1449	0	71776119065149440	TEXT_MIX_PAGE	1	1922	0	0	111		0	0x000000000000015A
32767	1	312	0	281474979397632	DATA_PAGE	49	4135	0	0	109		0	0x000000000000015A
4	1	68	0	196608	DATA_PAGE	96	2336	0	0	618		0	0x000000000000015A
32767	1	3763	0	281474981560320	DATA_PAGE	269	26	0	0	89		0	0x000000000000015A
32767	1	1559	0	281474980642816	DATA_PAGE	4	5065	0	0	104		0	0x000000000000015A
32767	1	1168	0	281474980642816	DATA_PAGE	6	1581	0	0	77		0	0x000000000000015A
32767	1	898	0	72057594038386688	IAM_PAGE	2	6	0	0	29		0	0x000000000000015A
32767	1	1091	0	281474980642816	DATA_PAGE	6	153	0	0	105		0	0x000000000000015A
32767	1	930	0	281474979397632	DATA_PAGE	77	1259	0	0	94		0	0x000000000000015A
6	1	1	0	6488064	PFS_PAGE	1	2	1	0	598		0	0x000000000000015A
32767	1	3378	0	71776119065149440	TEXT_MIX_PAGE	1	40	0	0	47		0	0x000000000000015A
1	1	360	0	562949955256320	INDEX_PAGE	7	7895	0	0	444		0	0x000000000000015A
32767	1	3406	0	281474980642816	DATA_PAGE	2	1955	0	0	75		0	0x000000000000015A
32767	1	1423	0	281474980642816	DATA_PAGE	2	2394	0	0	77		0	0x000000000000015A
32767	1	2891	0	71776119065149440	TEXT_MIX_PAGE	1	40	0	0	64		0	0x000000000000015A
32767	1	2410	0	281474979397632	DATA_PAGE	76	2130	0	0	57		0	0x000000000000015A
2	1	14	0	281474979397632	DATA_PAGE	59	3221	0	0	392		0	0x000000000000015A
32767	1	3866	0	281474980642816	DATA_PAGE	10	3371	0	0	124		0	0x000000000000015A
4	1	452	0	281474978938880	DATA_PAGE	41	3346	0	0	2881		0	0x000000000000015A
32767	1	425	0	281474980642816	DATA_PAGE	4	2275	0	0	98		0	0x000000000000015A
32767	1	3543	0	72057594038976512	DATA_PAGE	76	4878	0	0	61		0	0x000000000000015A
5	1	50	0	281474979594240	DATA_PAGE	1	8044	0	0	1239		0	0x000000000000015A
