3,1,1,1
3,1,2,3
5,1,1,1
5,17,1,2
5,18,1,3
5,19,1,4
5,20,1,5
5,21,1,6
5,22,1,9
6,1,1,1
6,1,2,2
6,1,3,3
6,1,4,4
6,1,5,5
6,1,6,6
7,1,1,1
7,2,1,3
7,2,2,2
7,2,3,1
7,17,1,2
9,1,1,1
9,1,2,2
9,1,3,3
9,1,4,4
17,1,1,1
17,2,1,3
17,2,2,4
17,2,3,5
17,3,1,2
18,1,1,1
18,1,2,2
18,2,1,1
18,2,2,4
18,2,3,5
19,1,1,1
19,1,2,2
19,1,3,3
19,1,4,4
20,1,1,1
20,1,2,2
21,1,1,2
21,1,2,3
22,1,1,2
22,1,2,3
22,1,3,4
23,1,1,2
24,1,1,2
24,17,1,6
24,18,1,5
24,19,1,3
24,20,1,11
24,21,1,14
25,1,1,1
27,1,1,1
27,2,1,2
27,3,1,4
27,3,2,1
27,17,1,3
27,18,1,5
27,19,1,10
28,1,1,1
28,2,1,2
28,3,1,9
28,3,2,10
29,1,1,1
29,1,2,2
29,1,3,3
29,1,4,4
29,1,5,5
29,1,6,6
29,17,1,4
29,18,1,5
29,19,1,3
29,20,1,7
29,21,1,6
29,22,1,2
34,1,1,1
34,2,1,4
34,2,2,3
34,2,3,2
34,3,1,2
34,3,2,3
34,3,3,4
34,4,1,7
34,4,2,8
34,17,1,6
34,18,1,8
34,19,1,5
34,20,1,12
34,21,1,3
34,22,1,11
34,23,1,9
35,1,1,1
35,1,2,2
36,1,1,1
36,2,1,2
37,1,1,1
38,1,1,1
38,2,1,2
40,1,1,1
40,1,2,2
40,1,3,3
40,1,4,4
40,1,5,5
40,1,6,6
40,2,1,1
40,2,2,4
40,2,3,5
40,2,4,2
40,2,5,3
40,2,6,6
41,1,1,1
41,1,2,2
41,1,3,3
41,2,1,1
41,2,2,4
41,2,3,2
41,17,1,2
41,18,1,3
41,19,1,5
41,20,1,6
41,21,1,10
41,22,1,11
41,23,1,4
41,24,1,13
42,1,1,1
42,2,1,2
42,3,1,3
43,1,1,1
43,2,1,2
44,1,1,1
44,1,2,2
44,2,1,3
44,2,2,4
44,2,3,1
44,17,1,2
45,1,1,1
45,1,2,2
46,1,1,1
46,2,1,2
46,3,1,3
46,3,2,4
46,4,1,5
47,1,1,1
47,1,2,2
48,1,1,1
48,1,2,2
49,1,1,1
49,1,2,2
49,1,3,3
49,1,4,4
50,1,1,1
50,2,1,2
50,2,2,3
50,3,1,3
50,3,2,2
50,17,1,4
50,18,1,13
51,1,1,1
51,1,2,2
51,1,3,3
51,2,1,4
51,2,2,2
51,2,3,1
54,1,1,1
54,1,2,2
54,2,1,3
54,2,2,1
54,17,1,2
54,18,1,4
54,19,1,5
54,20,1,7
54,21,1,8
55,1,1,1
55,1,2,2
55,1,3,3
55,2,1,1
55,2,2,5
55,2,3,3
55,2,4,2
55,17,1,6
55,18,1,5
55,19,1,2
55,20,1,4
56,1,1,1
56,2,1,2
57,1,1,1
57,1,2,2
57,1,3,3
58,1,1,1
58,1,2,2
58,2,1,1
58,2,2,3
58,2,3,4
58,17,1,2
58,18,1,3
58,19,1,6
59,1,1,1
59,1,2,2
59,1,3,3
59,1,4,4
59,1,5,5
59,1,6,6
60,1,1,1
60,1,2,2
60,1,3,3
60,1,4,4
