Database Mail XPs	mssqlsystemresource	sys	xp_sysmail_attachment_load	0	X 	EXTENDED_STORED_PROCEDURE
SMO and DMO XPs	mssqlsystemresource	sys	xp_prop_oledb_provider	1	X 	EXTENDED_STORED_PROCEDURE
SMO and DMO XPs	mssqlsystemresource	sys	xp_instance_regremovemultistring	1	X 	EXTENDED_STORED_PROCEDURE
Agent XPs	mssqlsystemresource	sys	xp_sqlagent_param	0	X 	EXTENDED_STORED_PROCEDURE
Ole Automation Procedures	mssqlsystemresource	sys	sp_OASetProperty	0	X 	EXTENDED_STORED_PROCEDURE
SMO and DMO XPs	mssqlsystemresource	sys	xp_subdirs	1	X 	EXTENDED_STORED_PROCEDURE
SMO and DMO XPs	mssqlsystemresource	sys	xp_regread	1	X 	EXTENDED_STORED_PROCEDURE
Agent XPs	mssqlsystemresource	sys	xp_regread	0	X 	EXTENDED_STORED_PROCEDURE
Database Mail XPs	mssqlsystemresource	sys	xp_sysmail_format_query	0	X 	EXTENDED_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_set_local_time	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_update_operator	0	P 	SQL_STORED_PROCEDURE
Database Mail XPs	msdb	dbo	sysmail_start_sp	0	P 	SQL_STORED_PROCEDURE
Database Mail XPs	msdb	dbo	sysmail_stop_sp	0	P 	SQL_STORED_PROCEDURE
Database Mail XPs	msdb	dbo	sysmail_help_status_sp	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_sqlagent_get_startup_info	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_sqlagent_has_server_access	0	P 	SQL_STORED_PROCEDURE
Database Mail XPs	msdb	dbo	sp_validate_user	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_sqlagent_notify	0	P 	SQL_STORED_PROCEDURE
Database Mail XPs	msdb	dbo	sp_send_dbmail	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_is_sqlagent_starting	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_downloaded_row_limiter	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_post_msx_operation	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_verify_alert	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_generate_server_description	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_msx_set_account	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_msx_get_account	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_msx_defect	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_msx_enlist	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_enlist_tsx	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_get_sqlagent_properties	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_set_sqlagent_properties	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_verify_subsystem	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_add_maintenance_plan_job	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_get_schedule_description	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_verify_job	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_get_composite_job_info	0	P 	SQL_STORED_PROCEDURE
Agent XPs	msdb	dbo	sp_jobhistory_row_limiter	0	P 	SQL_STORED_PROCEDURE
