1013578649,981578535,885578193,5,1,1
1077578877,1045578763,981578535,2,1,1
1205579333,1173579219,981578535,2,1,1
1125579048,1093578934,1045578763,5,1,1
1333579789,1285579618,1093578934,5,1,1
1429580131,1397580017,1093578934,2,1,1
1509580416,1461580245,1093578934,3,1,1
1221579390,1173579219,1141579105,4,1,1
1269579561,1237579447,1173579219,3,1,1
1381579960,1349579846,1173579219,2,1,1
1445580188,1397580017,1173579219,3,1,1
1493580359,1461580245,1173579219,2,1,1
1317579732,1285579618,1237579447,4,1,1
