0x0000000BFD27E040	0	OBJECTSTORE_SERVICE_BROKER	HADR Replica Xmit Msg Pool	16384	0	0
0x0000000BFD27EE90	0	OBJECTSTORE_SERVICE_BROKER	HADR Replica No Copy Xmit Msg Pool	16384	0	0
0x0000000BF1A2A040	0	OBJECTSTORE_SERVICE_BROKER	HADR Log Block Msg Pool	16384	0	0
0x0000000BF1A2AE90	0	OBJECTSTORE_SERVICE_BROKER	HADR Primary Progress Msg Pool	16384	0	0
0x0000000BF1A34040	0	OBJECTSTORE_SERVICE_BROKER	HADR Log Progress Msg Pool	16384	0	0
0x0000000BF1A34E90	0	OBJECTSTORE_SERVICE_BROKER	HADR Compressed Log Block Pool	16384	0	0
0x0000000BF1A3E040	0	OBJECTSTORE_SERVICE_BROKER	HADR Replica Status Pool	16384	0	0
0x0000000BF1A3EE90	0	OBJECTSTORE_SERVICE_BROKER	HADR Sync Progress Message Pool	16384	0	0
0x0000000BF1BD1160	0	OBJECTSTORE_LBSS	LbssCache	128	4	0
0x0000000BFD4E68D0	0	OBJECTSTORE_LBSS	LbssCache	128	1	0
0x0000000BF1D3A040	0	OBJECTSTORE_LBSS	LbssCache	128	3	0
0x0000000BFD626040	0	OBJECTSTORE_SNI_PACKET	SNIPacket	1024	0	0
0x0000000BFD626E90	0	OBJECTSTORE_SNI_PACKET	SNIPacket	1024	0	0
0x0000000BFD62C040	0	OBJECTSTORE_SNI_PACKET	SNIPacket	1024	0	0
0x0000000BFD62CE90	0	OBJECTSTORE_SNI_PACKET	SNIPacket	1024	0	0
0x0000000BFD632040	0	OBJECTSTORE_SNI_PACKET	SNIPacket	1024	0	0
0x0000000BFD632E90	0	OBJECTSTORE_SNI_PACKET	SNIPacket	1024	0	0
0x0000000BFD638040	0	OBJECTSTORE_SNI_PACKET	SNIPacket	1024	0	0
0x0000000BFD638E90	0	OBJECTSTORE_SNI_PACKET	SNIPacket	1024	0	0
0x0000000BFD641030	0	OBJECTSTORE_LOCK_MANAGER	Lock Blocks	-1	50	0
0x0000000BFD641030	1	OBJECTSTORE_LOCK_MANAGER	Lock Owner Blocks	-1	50	0
